Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Recom Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
ACU,30.61,33.11,UP,85728049,Consumer Discretionary,6.00M,195.60M,654,1.00,15.56,1.56,0.42,1.06,-,0.77,1.54,63.20%,16.00%,12.10%,6.40%,3.52M,0.92
AE,23.88,27.43,UP,142295270,Energy,12.90M,2.98B,710,1.50,13.08,-,0.05,1.00,-,0.08,2.94,39.00%,7.90%,7.10%,0.40%,4.37M,0.89
AGE,1.58,0.59,DOWN,23852295,Health Care,-9.40M,0.07M,5,-,-,-,350.28,-,-,-,-0.25,12.70%,81.10%,-566.60%,-,37.94M,1.43
AIM,1.91,1,DOWN,22706656,Health Care,-18.30M,0.10M,21,2.00,-,-,261.02,0.56,-,0.00,-0.38,12.70%,-33.60%,-38.30%,-,48.03M,-0.32
AINC,8.74,17.13,UP,48731362,Finance,-26.20M,534.00M,126,2.00,-,-,0.08,-,1.55,-,-9.32,14.50%,10.60%,3.70%,-4.90%,2.91M,2.08
AIRI,12.5,9.12,DOWN,17649270,Industrials,1.50M,55.80M,197,2.00,11.46,-,0.32,0.98,7.08,1.40,0.47,14.00%,8.80%,6.10%,2.70%,3.22M,0.64
AMS,2.17,2.36,UP,16149126,Health Care,1.00M,18.70M,8,2.00,16.30,-,0.85,0.78,3.19,0.73,0.16,13.50%,5.10%,1.90%,5.50%,6.20M,0.81
AREN,13.2,13.7,UP,252319519,Technology,-84.50M,234.10M,333,2.00,-,-,1.09,-,-,-,-6.11,53.90%,214.20%,-261.60%,-36.10%,18.26M,0.39
ARMP,3.02,5.23,UP,109518459,Health Care,-29.50M,5.40M,69,1.50,-,-,19.37,1.96,-,0.00,-1.01,3.90%,-71.80%,-,-,36.00M,0.73
ASXC,1.17,1.08,DOWN,100865933,Health Care,-70.70M,7.10M,153,2.00,-,-,13.56,0.72,-,0.00,-0.30,13.30%,-44.70%,-36.60%,-,236.50M,1.31
ATNM,7.86,6.09,DOWN,342763141,Health Care,-27.30M,1.20M,32,1.80,-,-,233.80,3.31,25.05,0.00,-1.22,15.50%,-36.30%,-33.90%,-,25.18M,0.55
AUMN,0.83,0.36,DOWN,45038130,Basic Materials,-1.20M,31.40M,248,-,-,-,1.42,3.88,26.15,0.01,-0.01,32.60%,-9.40%,-13.30%,-3.90%,165.11M,0.97
AWX,2.56,3.54,UP,10138521,Utilities,-0.30M,72.70M,611,-,-,-,0.14,0.27,-,0.54,-0.07,11.10%,-0.70%,4.00%,-0.40%,3.90M,0.94
BHB,22.51,28.38,UP,458005009,Finance,40.80M,114.90M,489,2.00,11.22,-,4.03,1.16,10.34,0.15,2.70,52.80%,9.50%,18.10%,33.90%,15.02M,0.87
BKTI,3.01,2.44,DOWN,45590766,Technology,-11.10M,44.20M,113,-,-,-,0.96,1.79,-,0.20,-0.66,45.00%,-37.60%,-4.00%,-25.20%,16.87M,1.14
BMTX,14.87,9.3,DOWN,92281660,Technology,8.30M,95.80M,275,1.70,11.22,-,1.03,1.81,5.25,0.00,0.71,37.80%,19.30%,-0.20%,8.70%,11.94M,0.04
BRN,1.26,2.96,UP,32359233,Energy,7.20M,23.50M,35,-,4.36,-,1.37,1.81,7.30,0.00,0.75,14.60%,53.70%,-24.20%,30.70%,9.96M,0.55
BTN,1.95,2.94,UP,49063515,Consumer Discretionary,0.20M,35.30M,159,-,100.00,6.67,1.23,0.88,-,0.18,0.02,38.70%,0.30%,-11.50%,0.40%,19.27M,1.35
BTTR,7.5,2.94,DOWN,30539300,Consumer Discretionary,-16.90M,57.70M,43,2.00,-,-,0.56,0.60,-,0.24,-0.58,47.40%,-29.90%,-24.70%,-29.40%,29.36M,-0.01
CCEL,7.42,11.61,UP,44300100,Health Care,1.30M,29.90M,83,2.00,33.87,-,1.47,-,-,-,0.15,8.90%,49.60%,57.00%,4.30%,8.39M,0.35
CCF,101.53,99.32,DOWN,890047460,Consumer Discretionary,44.70M,315.70M,661,-,20.28,-,2.92,2.46,26.53,0.00,4.74,72.70%,12.70%,13.40%,14.20%,9.40M,0.67
CEI,0.98,0.89,DOWN,73510914,Energy,-328.80M,0.50M,9,-,-,-,130.39,-,-,-,-1.84,6.20%,393.80%,-,-,509.43M,-1.45
CIX,14.26,22.26,UP,228790049,Technology,-,152.36M,570,-,12.46,-,1.53,1.30,-,0.00,1.49,8.90%,-,-,-,12.37M,0.57
CMCL,18.34,11.56,DOWN,138726092,Basic Materials,28.50M,130.80M,1718,1.50,4.68,-,1.05,0.77,4.80,0.00,2.27,26.60%,17.40%,14.50%,21.80%,12.83M,0.87
CMT,13.35,8.48,DOWN,85890031,Consumer Discretionary,3.10M,343.50M,1584,2.00,27.77,-,0.25,0.77,-,0.28,0.36,46.10%,3.00%,5.30%,0.90%,8.33M,1.86
COHN,15.88,15.6,DOWN,16568490,Finance,-9.30M,42.10M,118,-,-,-,0.39,0.26,0.37,38.83,-6.63,7.00%,-16.60%,1.30%,-22.00%,1.43M,1.11
CPHI,0.49,0.5,UP,6316299,Health Care,-3.70M,8.10M,236,-,-,-,0.73,1.48,-,2.00,-0.08,1.60%,-67.00%,-18.30%,-46.10%,48.49M,0.66
CVM,12,7.52,DOWN,156990212,Health Care,-36.70M,-,43,2.00,-,-,-,3.84,-,0.35,-0.85,18.20%,-76.60%,-,-,43.17M,1.75
CVU,3.91,2.71,DOWN,30983334,Industrials,5.40M,89.30M,249,3.00,5.29,0.59,0.34,-,9.48,-,0.44,14.70%,-107.10%,15.20%,6.10%,12.44M,1.65
DIT,110,199.01,UP,110805820,Consumer Discretionary,18.30M,1.82B,749,-,6.19,-,0.06,1.26,-,1.30,31.47,10.10%,22.40%,10.50%,1.00%,0.57M,0.50
DLA,20.07,28.5,UP,107163576,Consumer Discretionary,26.90M,484.10M,8500,2.00,3.94,0.26,0.21,0.57,-,0.89,3.80,59.80%,15.60%,9.10%,5.60%,6.95M,1.41
ELA,5.14,4.05,DOWN,142160732,Consumer Discretionary,12.40M,171.80M,256,2.00,9.78,-,0.70,3.54,20.14,0.49,0.46,5.70%,42.40%,21.90%,7.20%,26.93M,0.09
ELLO,33.52,27.2,DOWN,244265098,Utilities,-11.60M,53.90M,20,-,-,-,4.02,2.07,-,4.15,-0.89,22.50%,-11.10%,1.30%,-21.50%,11.62M,1.19
ELMD,9.81,12.78,UP,89932377,Health Care,2.30M,41.70M,156,2.00,40.31,2.69,2.19,2.61,-,0.00,0.26,37.20%,6.80%,6.70%,5.50%,8.43M,0.50
EMAN,1.69,1.29,DOWN,70775667,Technology,0.60M,27.50M,103,2.00,111.70,5.58,2.46,3.44,-,0.77,0.01,14.70%,3.30%,-24.30%,2.20%,76.68M,1.85
ENSV,1.87,0.86,DOWN,30294217,Energy,-2.40M,18.80M,81,2.00,-,-,1.70,3.48,-,1.13,-0.22,25.10%,-30.80%,-59.00%,-13.00%,11.45M,1.66
EP,1.32,11.6,UP,348045004,Energy,-3.20M,50.70M,1,-,-,-,7.12,15.04,22.01,0.36,-0.92,6.60%,-25.30%,-14.20%,-6.30%,20.43M,1.76
EPM,2.75,5,UP,265894560,Energy,32.60M,108.90M,8,2.50,8.37,-,2.51,3.56,6.98,0.28,0.97,62.50%,50.20%,38.10%,30.00%,33.01M,1.15
