Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Recom Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
AACG,1.18,1.04,DOWN,60890954,Consumer Discretionary,-9.40M,27.90M,584,1.00,-,-,2.04,2.73,-,0.00,-0.30,16.90%,-39.40%,-37.80%,-33.80%,31.53M,1.66
AADI,1.05,24.87,UP,271012062,Health Care,-135.20M,6.70M,67,1.60,-,-,39.40,2.42,-,0.00,-11.45,72.20%,-103.90%,-77.90%,-,20.97M,1.25
AAL,15.13,18.07,UP,9225343091,Consumer Discretionary,-1608.00M,45.21B,123400,3.00,-,-,0.20,-,10.85,-,-2.52,54.90%,28.40%,-1.60%,-5.10%,650.59M,1.49
AAME,2.14,2.78,UP,60991506,Finance,2.50M,195.30M,138,-,26.35,-,0.32,0.57,5.95,0.32,0.12,5.50%,1.90%,3.20%,1.30%,20.40M,0.29
AAOI,8.76,5.35,DOWN,77235240,Technology,-60.90M,212.20M,2534,2.50,-,-,0.28,0.26,-,0.65,-2.22,35.60%,-24.90%,-14.30%,-28.70%,27.61M,1.39
AAON,64.71,79.17,UP,3450790584,Industrials,55.80M,666.40M,2881,2.00,63.40,5.28,5.21,7.12,-,0.23,1.04,72.10%,12.10%,11.50%,8.40%,53.09M,0.76
AAPL,129.41,178.2,UP,2652266273200,Technology,99.80B,394.33B,164000,1.90,22.68,2.55,5.68,43.79,23.19,2.37,6.10,60.10%,160.90%,58.30%,25.30%,16.03B,1.25
AATC,4.44,6.28,UP,22999799,Industrials,0.50M,12.00M,36,-,45.71,2.29,1.88,1.24,-,0.09,0.09,25.20%,2.60%,10.60%,4.20%,5.38M,0.77
AAWW,55.39,93.25,UP,2871419104,Consumer Discretionary,466.00M,4.40B,4056,2.70,6.93,0.69,0.65,0.99,3.15,0.72,14.50,-,16.90%,10.80%,10.60%,28.24M,1.14
ABCL,39.1,14.34,DOWN,3363210294,Health Care,200.40M,507.30M,386,1.70,18.67,1.87,6.89,2.80,12.18,0.00,0.64,45.30%,18.20%,13.50%,39.50%,284.69M,-
ABCM,20.47,23.67,UP,3554142002,Health Care,7.80M,401.90M,1750,2.20,430.59,1163.75,8.29,4.01,82.85,0.32,0.03,13.30%,1.00%,2.40%,1.90%,229.05M,-
ABEO,42.25,7.99,DOWN,26895132,Health Care,-86.60M,4.30M,90,2.30,-,-,6.71,1.11,-,0.00,-18.58,10.80%,-189.60%,-171.40%,-,8.05M,1.26
ABIO,4.16,2.21,DOWN,31189314,Health Care,-16.80M,-,17,-,-,-,-,0.66,-,0.00,-1.17,34.40%,-33.50%,-,-,14.41M,1.80
ABMD,316.73,362.06,UP,11379541178,Health Care,217.60M,1.06B,2003,2.90,78.93,4.30,10.74,11.09,45.45,0.00,4.74,95.30%,9.30%,5.80%,12.90%,45.58M,1.28
ABNB,139.15,168.78,UP,63790837789,Consumer Discretionary,1.25B,7.38B,6132,2.50,52.39,1.14,8.16,11.69,21.71,0.00,1.83,65.60%,26.00%,0.00%,16.90%,638.41M,-
ABUS,3.64,3.88,UP,353883430,Health Care,-76.10M,33.40M,85,2.00,-,-,11.07,2.48,-,0.00,-0.60,29.70%,-66.50%,-,-,148.75M,2.20
ABVC,5.05,3.41,DOWN,24470984,Health Care,-17.60M,0.40M,28,2.00,-,-,60.17,2.44,-,0.17,-0.65,4.80%,-,-120.50%,-,31.31M,0.30
