,AMEX_missing_rate,Nasdaq,nyse
Symbol,0.0%,0.0%,0.0%
Start,0.0%,0.0%,0.0%
End,0.0%,0.0%,0.0%
Label,0.0%,0.0%,0.0%
Market.Cap,0.0%,0.0%,0.0%
Sector,0.0%,0.0%,0.0%
Income,2.3%,2.4%,2.3%
Sales,4.7%,9.0%,0.6%
Employees,0.0%,0.0%,0.0%
Recom.Analyst.Rating..1.buy.5.sell.,35.7%,15.1%,5.4%
price.to.earnings,55.8%,55.0%,23.0%
Price.Earnings.to.Growth,86.8%,70.8%,39.9%
Price.to.Sales.Ratio,4.7%,9.6%,0.7%
Price.to.Book,8.5%,6.9%,5.7%
Price.to.free.cash.flow,67.4%,62.8%,38.3%
debt.to.equity,8.5%,8.6%,7.1%
EPS..ttm.,0.0%,0.1%,0.1%
Inst.Own,0.0%,6.9%,11.2%
ROE,7.8%,6.3%,6.1%
ROI,16.3%,13.4%,2.7%
Profit.Margin,31.8%,32.5%,9.1%
Shs.Outstand,0.0%,0.0%,0.0%
Beta,0.0%,14.2%,8.0%
