Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
A,118.64,160.88,UP,40800311357,Industrials,1.33B,6.66B,17700,3.00,31.04,2.62,5.94,7.97,51.04,0.57,4.38,94.00%,25.60%,14.70%,19.90%,298.00M,1.06
AA,23.25,59.21,UP,7022461783,Industrials,-120.00M,13.13B,12200,2.30,-,-,0.55,1.41,9.52,0.32,-0.86,87.00%,-2.40%,5.00%,-0.90%,179.00M,2.37
AAIC,3.73,3.49,DOWN,87250678,Real Estate,-1.70M,34.00M,11,2.70,-,-,2.58,0.48,-,4.16,-0.06,40.70%,-0.90%,-1.30%,-5.10%,28.77M,1.48
AAN,18.81,24.44,UP,322887214,Consumer Discretionary,16.90M,2.10B,9170,2.70,19.27,-,0.14,0.43,6.42,0.39,0.50,-,2.30%,15.10%,0.80%,30.88M,-
AAP,157.34,237.52,UP,11459137536,Consumer Discretionary,535.70M,11.06B,41000,2.30,21.01,1.89,0.99,3.92,-,0.46,8.62,-,17.80%,15.60%,4.80%,60.45M,1.28
AAT,27.39,37.5,UP,1653628102,Real Estate,42.00M,418.40M,212,3.20,40.36,13.45,4.01,1.38,-,1.34,0.70,96.20%,3.40%,3.30%,10.00%,60.04M,1.10
AB,33.25,49.01,UP,3683495193,Finance,335.50M,367.70M,4118,2.70,10.81,-,9.99,2.34,-,0.00,3.39,11.50%,21.50%,23.80%,91.30%,100.47M,1.33
ABB,28.27,38.14,UP,52143750000,Energy,4.05B,29.19B,104400,2.60,13.91,0.95,1.92,4.56,-,0.64,2.06,6.30%,30.10%,22.00%,13.60%,1.88B,1.13
ABBV,105.41,135.93,UP,257222678093,Health Care,12.57B,57.35B,50000,2.30,20.55,-,4.46,17.55,20.34,4.98,7.07,70.80%,82.80%,17.90%,21.60%,1.77B,0.66
ABC,96.5,133.77,UP,32525012378,Health Care,1.84B,236.33B,38000,2.10,18.56,1.86,0.14,151.07,20.17,27.02,8.71,70.70%,594.40%,24.30%,0.80%,208.88M,0.55
ABEV,2.99,2.76,DOWN,47696967357,Consumer Staples,2.53B,15.26B,53000,2.70,20.25,2.23,3.38,2.92,82.13,0.03,0.16,17.80%,15.50%,20.10%,16.60%,15.74B,1.06
ABG,142.7,170.09,UP,3474647541,Consumer Discretionary,784.60M,14.38B,14200,2.40,4.38,0.24,0.22,1.29,3.73,1.27,35.10,-,33.60%,9.90%,5.50%,22.10M,1.11
ABM,36.92,40.54,UP,2956973838,Consumer Discretionary,215.90M,7.49B,124000,1.70,13.53,2.46,0.37,1.71,-,0.71,3.18,97.42%,13.10%,6.10%,2.90%,66.80M,1.12
ABR,13.82,18.43,UP,2351025239,Real Estate,312.80M,920.30M,579,2.20,8.06,1.01,2.69,1.10,-,6.67,1.80,44.50%,16.30%,2.40%,34.00%,170.30M,1.88
ABT,109.11,141,UP,172127388539,Health Care,7.89B,45.03B,113000,2.10,22.03,2.65,3.80,4.71,34.79,0.46,4.45,75.80%,21.70%,13.50%,17.20%,1.75B,0.69
AC,34.96,43.74,UP,907960309,Finance,-35.10M,21.20M,25,-,-,-,42.13,1.03,26.58,0.00,-1.59,72.50%,-3.80%,-3.90%,-,22.04M,1.14
ACA,53.89,52.05,DOWN,3132583368,Industrials,91.70M,2.22B,6170,1.70,32.19,7.85,1.31,1.47,24.17,0.36,1.89,92.70%,4.70%,3.50%,4.10%,48.30M,0.52
ACCO,8.27,8.25,DOWN,438784611,Consumer Discretionary,110.40M,2.06B,6000,1.70,4.13,0.41,0.21,0.52,6.17,1.35,1.13,88.70%,13.00%,7.60%,5.40%,96.20M,1.76
ACEL,9.72,13.02,UP,890454068,Consumer Discretionary,55.90M,810.40M,900,2.00,16.45,0.76,1.07,5.22,13.16,2.89,0.60,67.90%,33.70%,10.80%,6.90%,92.33M,1.22
ACHR,10.09,6,DOWN,687187169,Industrials,-350.90M,-,209,2.20,-,-,-,1.05,-,0.02,-1.48,43.00%,-51.90%,-,-,236.46M,-
ACI,17.12,30.17,UP,11019690696,Consumer Staples,1.48B,75.34B,290000,2.70,7.53,0.94,0.15,2.58,12.19,1.81,2.83,65.80%,42.90%,17.80%,2.00%,531.90M,-
ACM,48.92,76.86,UP,10482106857,Consumer Discretionary,368.70M,13.08B,51000,1.70,29.66,2.00,0.81,4.35,17.53,0.90,2.56,88.40%,11.80%,11.00%,2.30%,140.61M,1.34
ACN,256.46,413.83,UP,179062423832,Consumer Discretionary,6.88B,61.59B,721000,2.00,24.38,2.18,2.84,7.47,27.50,0.00,10.71,73.50%,32.60%,31.90%,11.20%,664.78M,1.21
ACRE,11.43,14.48,UP,673946934,Real Estate,53.30M,158.80M,2100,1.90,10.76,4.70,4.05,0.77,-,2.39,1.11,47.40%,7.50%,2.30%,33.60%,54.44M,1.36
ADC,64.94,71.28,UP,5476584960,Real Estate,135.60M,382.20M,57,1.70,35.51,14.03,14.30,1.35,206.24,0.51,1.92,100.00%,4.00%,3.20%,35.50%,88.57M,0.46
ADCT,32.22,20.82,DOWN,347074402,Health Care,-187.00M,93.90M,312,2.10,-,-,3.48,2.82,-,2.67,-2.43,48.70%,-118.40%,-49.40%,-,76.91M,-
ADNT,33.73,47.19,UP,3334596457,Consumer Discretionary,795.00M,13.24B,75000,2.60,4.60,0.13,0.27,1.70,-,1.28,8.26,-,34.80%,18.90%,6.00%,94.80M,2.64
ADT,7.84,8.35,UP,7754509100,Consumer Discretionary,-23.90M,5.84B,25000,2.80,-,-,1.33,2.27,5.56,2.91,-0.05,91.40%,-0.80%,0.80%,-0.40%,902.99M,1.83
AEE,76.13,89.06,UP,21005530187,Utilities,1.01B,6.96B,9116,2.10,20.79,3.32,2.99,2.12,14.36,1.48,3.90,82.40%,10.30%,5.00%,14.50%,258.20M,0.41
AEG,3.88,4.93,UP,9075125738,Finance,408.20M,-7836.00M,20000,3.00,23.64,0.62,-,0.50,9.74,0.62,0.20,10.00%,1.70%,3.40%,-,2.03B,1.17
AEL,26.72,38.95,UP,3775453268,Finance,1.13B,1.92B,800,2.60,3.55,0.14,1.94,1.00,0.96,0.15,11.82,-,20.80%,2.10%,58.80%,92.54M,1.01
AENZ,2.36,1.63,DOWN,221297662,Industrials,-22.60M,1.05B,46762,3.00,-,-,0.15,0.53,23.70,1.07,-0.14,5.80%,-8.70%,5.80%,-2.80%,239.40M,0.88
AEO,19.87,25.77,UP,2132796007,Consumer Discretionary,191.90M,5.04B,7200,2.70,12.63,-,0.43,1.49,-,0.27,0.90,99.20%,13.80%,25.60%,3.80%,180.19M,1.32
AER,43.45,65.27,UP,13088966527,Consumer Discretionary,-1138.30M,6.26B,736,-,-,-,2.18,0.89,2.99,3.19,-3.16,-,-8.10%,3.20%,-18.20%,240.37M,2.01
AES,23.24,24.17,UP,17446425945,Utilities,-353.00M,11.74B,8450,1.80,-,-,1.50,8.19,-,9.91,-0.74,97.30%,-16.10%,-1.50%,-3.00%,668.00M,0.96
AEVA,16.4,7.84,DOWN,428357823,Consumer Discretionary,-126.50M,9.00M,227,2.00,-,-,46.14,0.98,-,0.00,-0.59,39.80%,-28.70%,-22.80%,-,216.89M,-
AFG,85.16,136.83,UP,12295733307,Finance,1.03B,6.64B,6600,2.30,12.06,4.60,1.87,3.05,-,0.38,12.11,64.70%,21.50%,16.80%,15.50%,85.10M,0.84
AFL,43.19,58.56,UP,41093528564,Finance,5.05B,20.93B,12447,2.90,8.58,-,1.98,1.63,10.19,0.28,7.83,60.80%,13.20%,11.10%,19.40%,640.71M,0.92
AGCO,102.51,114.74,UP,9280000779,Industrials,792.90M,11.51B,23300,2.10,11.48,1.63,0.83,2.67,-,0.69,10.54,81.50%,26.30%,18.10%,7.80%,74.60M,1.44
AGM,74.76,123.48,UP,1248937456,Finance,134.30M,474.00M,153,1.00,9.33,0.85,2.56,1.71,1.86,33.44,12.36,79.80%,18.70%,0.60%,28.30%,10.80M,0.99
AGO,30.73,49.9,UP,3662990021,Finance,299.00M,763.00M,407,2.00,13.89,4.63,4.76,0.71,-,0.32,4.22,94.40%,5.10%,5.80%,39.20%,63.80M,1.11
AGR,44.9,50.25,UP,15727873717,Utilities,898.00M,7.70B,7348,3.40,17.50,4.46,2.04,0.81,-,0.44,2.32,13.70%,4.70%,3.20%,11.70%,386.74M,0.40
AGRO,7.03,7.57,UP,966958608,Consumer Staples,177.90M,1.23B,9104,2.40,5.38,-,0.78,0.87,3.14,1.22,1.58,83.40%,16.90%,11.10%,14.50%,112.94M,1.06
AGS,6.29,6.77,UP,248672632,Consumer Discretionary,-22.00M,286.90M,780,2.10,-,-,0.88,7.01,7.18,15.24,-0.59,87.20%,-55.60%,3.40%,-7.70%,37.00M,2.39
AGX,44.18,38.29,DOWN,482614618,Industrials,26.30M,468.40M,1358,2.00,19.94,1.99,1.01,1.74,-,0.00,1.71,86.60%,8.40%,10.20%,5.60%,14.13M,0.54
AHH,10.98,15.19,UP,793114202,Real Estate,32.30M,316.80M,138,1.70,23.37,4.67,2.40,1.65,51.11,2.43,0.48,90.70%,7.80%,2.80%,10.20%,67.71M,0.93
AHT,23.7,10.03,DOWN,281170746,Real Estate,-174.40M,1.09B,119,2.70,-,-,0.21,-,-,-,-5.42,42.40%,-,-3.30%,-21.50%,34.33M,2.09
AI,120.01,32.58,DOWN,1418395992,Technology,-226.50M,265.70M,704,3.20,-,-,5.01,1.32,-,0.00,-2.15,46.90%,-22.50%,-19.90%,-85.30%,106.84M,-
AIG,37.13,56.74,UP,49141427867,Finance,12.68B,57.17B,36600,2.20,3.79,0.38,0.77,1.02,14.37,0.63,15.27,92.80%,22.00%,11.70%,22.20%,790.90M,1.21
AIN,70.98,87.7,UP,2850315000,Consumer Discretionary,106.30M,1.01B,4100,3.00,28.74,-,2.88,3.66,76.33,0.55,3.34,-,12.60%,11.00%,10.60%,31.11M,1.30
AIR,34.36,38.55,UP,1568816996,Industrials,88.80M,1.81B,4500,2.00,17.38,1.27,0.82,1.45,26.01,0.11,2.48,-,8.70%,6.90%,4.90%,34.90M,1.58
AIRC,38,54.26,UP,5947001885,Real Estate,954.60M,751.10M,800,2.60,6.08,-,7.45,2.71,36.15,1.58,6.08,-,50.40%,-0.80%,-,155.93M,-
AIT,76.5,102.08,UP,4802905996,Industrials,281.30M,3.98B,6067,2.30,17.48,1.46,1.17,3.97,50.21,0.53,7.19,94.60%,25.10%,15.50%,7.10%,38.53M,1.19
AIV,5.06,7.72,UP,1213474878,Real Estate,237.50M,190.30M,62,1.00,4.76,0.67,6.00,1.52,-,0.00,1.58,95.40%,42.20%,-0.10%,-,149.60M,1.15
AIZ,132.11,154.79,UP,7158516270,Finance,481.50M,10.20B,15600,2.00,14.41,0.83,0.64,1.48,-,0.48,8.41,97.60%,23.30%,9.50%,11.80%,54.61M,0.52
