"Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"A",118.64,160.88,"UP",40800311357,"Industrials",1.33e+09,6.66e+09,17700,3,31.04,2.62,5.94,7.97,51.04,0.57,4.38,0.94,0.256,0.147,0.199,2.98e+08,1.06
"AA",23.25,59.21,"UP",7022461783,"Industrials",-1.2e+08,1.313e+10,12200,2.3,0,0,0.55,1.41,9.52,0.32,-0.86,0.87,-0.024,0.05,-0.009,1.79e+08,2.37
"AAIC",3.73,3.49,"DOWN",87250678,"Real Estate",-1700000,3.4e+07,11,2.7,0,0,2.58,0.48,0,4.16,-0.06,0.407,-0.009,-0.013,-0.051,28770000,1.48
"AAN",18.81,24.44,"UP",322887214,"Consumer Discretionary",16900000,2.1e+09,9170,2.7,19.27,0,0.14,0.43,6.42,0.39,0.5,0,0.023,0.151,0.008,30880000,0
"AAP",157.34,237.52,"UP",11459137536,"Consumer Discretionary",535700000,1.106e+10,41000,2.3,21.01,1.89,0.99,3.92,0,0.46,8.62,0,0.178,0.156,0.048,60450000,1.28
"AAT",27.39,37.5,"UP",1653628102,"Real Estate",4.2e+07,418400000,212,3.2,40.36,13.45,4.01,1.38,0,1.34,0.7,0.962,0.034,0.033,0.1,60040000,1.1
"AB",33.25,49.01,"UP",3683495193,"Finance",335500000,367700000,4118,2.7,10.81,0,9.99,2.34,0,0,3.39,0.115,0.215,0.238,0.913,100470000,1.33
"ABB",28.27,38.14,"UP",52143750000,"Energy",4.05e+09,2.919e+10,104400,2.6,13.91,0.95,1.92,4.56,0,0.64,2.06,0.063,0.301,0.22,0.136,1.88e+09,1.13
"ABBV",105.41,135.93,"UP",257222678093,"Health Care",1.257e+10,5.735e+10,50000,2.3,20.55,0,4.46,17.55,20.34,4.98,7.07,0.708,0.828,0.179,0.216,1.77e+09,0.66
"ABC",96.5,133.77,"UP",32525012378,"Health Care",1.84e+09,2.3633e+11,38000,2.1,18.56,1.86,0.14,151.07,20.17,27.02,8.71,0.707,5.944,0.243,0.008,208880000,0.55
"ABEV",2.99,2.76,"DOWN",47696967357,"Consumer Staples",2.53e+09,1.526e+10,53000,2.7,20.25,2.23,3.38,2.92,82.13,0.03,0.16,0.178,0.155,0.201,0.166,1.574e+10,1.06
"ABG",142.7,170.09,"UP",3474647541,"Consumer Discretionary",784600000,1.438e+10,14200,2.4,4.38,0.24,0.22,1.29,3.73,1.27,35.1,0,0.336,0.099,0.055,22100000,1.11
"ABM",36.92,40.54,"UP",2956973838,"Consumer Discretionary",215900000,7.49e+09,124000,1.7,13.53,2.46,0.37,1.71,0,0.71,3.18,0.9742,0.131,0.061,0.029,66800000,1.12
"ABR",13.82,18.43,"UP",2351025239,"Real Estate",312800000,920300000,579,2.2,8.06,1.01,2.69,1.1,0,6.67,1.8,0.445,0.163,0.024,0.34,170300000,1.88
"ABT",109.11,141,"UP",172127388539,"Health Care",7.89e+09,4.503e+10,113000,2.1,22.03,2.65,3.8,4.71,34.79,0.46,4.45,0.758,0.217,0.135,0.172,1.75e+09,0.69
"AC",34.96,43.74,"UP",907960309,"Finance",-35100000,21200000,25,0,0,0,42.13,1.03,26.58,0,-1.59,0.725,-0.038,-0.039,0,22040000,1.14
"ACA",53.89,52.05,"DOWN",3132583368,"Industrials",91700000,2.22e+09,6170,1.7,32.19,7.85,1.31,1.47,24.17,0.36,1.89,0.927,0.047,0.035,0.041,48300000,0.52
