"dataset","Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"Nasdaq","AACG",1.18,1.04,"DOWN",60890954,"Consumer Discretionary",-9400000,27900000,584,1,0,0,2.04,2.73,0,0,-0.3,0.169,-0.394,-0.378,-0.338,31530000,1.66
"Nasdaq","AADI",1.05,24.87,"UP",271012062,"Health Care",-135200000,6700000,67,1.6,0,0,39.4,2.42,0,0,-11.45,0.722,-1.039,-0.779,0,20970000,1.25
"Nasdaq","AAL",15.13,18.07,"UP",9225343091,"Consumer Discretionary",-1.608e+09,4.521e+10,123400,3,0,0,0.2,0,10.85,0,-2.52,0.549,0.284,-0.016,-0.051,650590000,1.49
"Nasdaq","AAME",2.14,2.78,"UP",60991506,"Finance",2500000,195300000,138,0,26.35,0,0.32,0.57,5.95,0.32,0.12,0.055,0.019,0.032,0.013,20400000,0.29
"Nasdaq","AAOI",8.76,5.35,"DOWN",77235240,"Technology",-60900000,212200000,2534,2.5,0,0,0.28,0.26,0,0.65,-2.22,0.356,-0.249,-0.143,-0.287,27610000,1.39
"Nasdaq","AAON",64.71,79.17,"UP",3450790584,"Industrials",55800000,666400000,2881,2,63.4,5.28,5.21,7.12,0,0.23,1.04,0.721,0.121,0.115,0.084,53090000,0.76
"Nasdaq","AAPL",129.41,178.2,"UP",2652266273200,"Technology",9.98e+10,3.9433e+11,164000,1.9,22.68,2.55,5.68,43.79,23.19,2.37,6.1,0.601,1.609,0.583,0.253,1.603e+10,1.25
"Nasdaq","AATC",4.44,6.28,"UP",22999799,"Industrials",5e+05,1.2e+07,36,0,45.71,2.29,1.88,1.24,0,0.09,0.09,0.252,0.026,0.106,0.042,5380000,0.77
"Nasdaq","AAWW",55.39,93.25,"UP",2871419104,"Consumer Discretionary",4.66e+08,4.4e+09,4056,2.7,6.93,0.69,0.65,0.99,3.15,0.72,14.5,0,0.169,0.108,0.106,28240000,1.14
"Nasdaq","ABCL",39.1,14.34,"DOWN",3363210294,"Health Care",200400000,507300000,386,1.7,18.67,1.87,6.89,2.8,12.18,0,0.64,0.453,0.182,0.135,0.395,284690000,0
"Nasdaq","ABCM",20.47,23.67,"UP",3554142002,"Health Care",7800000,401900000,1750,2.2,430.59,1163.75,8.29,4.01,82.85,0.32,0.03,0.133,0.01,0.024,0.019,229050000,0
"Nasdaq","ABEO",42.25,7.99,"DOWN",26895132,"Health Care",-86600000,4300000,90,2.3,0,0,6.71,1.11,0,0,-18.58,0.108,-1.896,-1.714,0,8050000,1.26
"Nasdaq","ABIO",4.16,2.21,"DOWN",31189314,"Health Care",-16800000,0,17,0,0,0,0,0.66,0,0,-1.17,0.344,-0.335,0,0,14410000,1.8
"Nasdaq","ABMD",316.73,362.06,"UP",11379541178,"Health Care",217600000,1.06e+09,2003,2.9,78.93,4.3,10.74,11.09,45.45,0,4.74,0.953,0.093,0.058,0.129,45580000,1.28
"Nasdaq","ABNB",139.15,168.78,"UP",63790837789,"Consumer Discretionary",1.25e+09,7.38e+09,6132,2.5,52.39,1.14,8.16,11.69,21.71,0,1.83,0.656,0.26,0,0.169,638410000,0
"Nasdaq","ABUS",3.64,3.88,"UP",353883430,"Health Care",-76100000,33400000,85,2,0,0,11.07,2.48,0,0,-0.6,0.297,-0.665,0,0,148750000,2.2
"Nasdaq","ABVC",5.05,3.41,"DOWN",24470984,"Health Care",-17600000,4e+05,28,2,0,0,60.17,2.44,0,0.17,-0.65,0.048,0,-1.205,0,31310000,0.3
"Nasdaq","ACAD",52.81,23.54,"DOWN",2613767438,"Health Care",-204600000,512400000,540,2.7,0,0,4.68,5.45,0,0,-1.27,0.946,-0.412,-0.316,-0.399,161650000,0.6
"Nasdaq","ACB",9.52,5.5,"DOWN",438638652,"Health Care",-1717600000,221300000,1338,2.9,0,0,2.59,0.49,0,0.41,-7.64,0.2372,-1.199,-1.836,0,300440000,3
"Nasdaq","ACCD",41.45,26.27,"DOWN",783055035,"Technology",-417200000,3.36e+08,2350,2.2,0,0,1.97,1.21,0,0.53,-6.08,0.805,-0.169,-0.106,-0.366,69740000,0
"Nasdaq","ACER",2.54,2.36,"DOWN",20287610,"Health Care",-19500000,4e+05,35,2,0,0,54.44,0,0,0,-1.35,0.265,4.238,9.028,0,15270000,1.21
"Nasdaq","ACET",13.42,16.54,"UP",329109110,"Health Care",-47700000,33900000,86,1.5,0,0,21.82,2.44,0,0,-1.37,0.926,-0.17,-0.202,0,40080000,2.15
"Nasdaq","ACGL",34.9,44.33,"UP",21010728011,"Finance",1.2e+09,8.71e+09,5200,0,18.21,1.05,2.5,1.81,6.86,0.24,3.12,0.91,0.151,0.111,0.212,369240000,0.78
"Nasdaq","ACHC",50.49,60.13,"UP",7291807792,"Health Care",277300000,2.45e+09,15900,2.2,25.81,2.09,2.95,2.64,52.15,0.53,3.04,0,0.095,0.071,0.099,89720000,1.25
"Nasdaq","ACHV",7.9,7.74,"DOWN",21956511,"Health Care",-31900000,0,16,1.7,0,0,0,1.49,0,1.17,-3.35,0.275,-1.31,0,0,9650000,1.11
"Nasdaq","ACIU",5.32,5.02,"DOWN",228552985,"Health Care",-75600000,3930000,143,1.3,0,0,56.55,1.23,0,0.01,-0.94,0.18,-0.366,0,0,84460000,0.52
"Nasdaq","ACIW",37.88,34.87,"DOWN",2790736452,"Technology",152100000,1.45e+09,3610,1.7,15.9,1.32,1.6,1.95,14.13,0.9,1.29,0.988,0.125,0.07,0.105,114670000,1.14
"Nasdaq","ACLS",28.6,73.11,"UP",1926861029,"Technology",149100000,807200000,1122,2,14.79,0.74,2.63,3.67,17.13,0.08,4.4,0.864,0.271,0.18,0.185,33100000,1.56
"Nasdaq","ACMR",29.84,28.39,"DOWN",380204374,"Technology",32200000,308700000,877,2.7,30.32,0.71,1.26,0.6,0,0.04,0.22,0.715,0.059,0.054,0.104,59180000,0.53
"Nasdaq","ACNB",24.4,31.39,"UP",310695625,"Finance",3e+07,80800000,397,0,10.68,0,3.95,1.3,10.85,0,3.45,0.306,0.103,0.235,0.334,8710000,0.39
"Nasdaq","ACNT",8,15.9,"UP",149994372,"Industrials",37600000,414300000,638,0,3.96,0.32,0.37,1.14,11.25,0.53,3.75,0.487,0.326,0.119,0.091,10240000,0.59
"Nasdaq","ACOR",3.8,2.35,"DOWN",28580595,"Health Care",-118800000,1.22e+08,118,2,0,0,0.21,0.15,0,0,-8.8,0.274,-0.716,-0.224,-0.779,24340000,1.66
"Nasdaq","ACRS",6.48,14.33,"UP",1056413879,"Health Care",-83300000,6100000,75,1.4,0,0,161.64,4.25,0,0,-1.33,0.962,-0.401,-0.455,0,65990000,0.56
"Nasdaq","ACRX",25,9.81,"DOWN",18895324,"Health Care",45700000,2900000,43,2.5,0.34,0,5.25,0.43,0,0.3,5.76,0.118,-2.175,1.628,0,7360000,0.28
"Nasdaq","ACST",3.16,1.25,"DOWN",25873875,"Health Care",-15300000,0,32,1,0,0,0,0.18,0,0,-0.36,0.0026,-0.103,0,0,44330000,1.4
"Nasdaq","ACTG",3.8,5.21,"UP",159736650,"Miscellaneous",112300000,95100000,287,0,0,0,1.52,0.71,96.45,0.48,-1.2,0.622,0.368,-0.016,0,43990000,0.4
